HH_ID,repeat_instance,collection_date,village,total_num_mosq_in_hh,abdominal_status,species_type,collection_week,collection_month_year_combo,sample_id_mosquito,sample_id_head,HbtubCT1_h,HbtubCT2_h,pfr364CT1_h,pfr364CT2_h,pfr364Q1_h,pfr364Q2_h,pf_pcr_infection_status_sample_level_h,pfr364Q_combined_h,hb_status_sample_level_h,sample_id_abdomen,HbtubCT1_a,HbtubCT2_a,pfr364CT1_a,pfr364CT2_a,pfr364Q1_a,pfr364Q2_a,pf_pcr_infection_status_sample_level_a,pfr364Q_combined_a,hb_status_sample_level_a,pf_infection_status_mosquito_level,hb_status_mosquito_level
S04,7,2017-07-12,Sitabicha,6,Half Gravid,An. gambiae,28,7-2017,S04 00006,S04 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,S04 A00006,37.484,35.445,NA,NA,NA,NA,negative,NA,positive,negative,positive
S04,7,2017-07-12,Sitabicha,6,Blood Fed,An. gambiae,28,7-2017,S04 00007,S04 H00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,S04 A00007,35.484,34.727,NA,NA,NA,NA,negative,NA,positive,negative,positive
S04,7,2017-07-12,Sitabicha,6,Half Gravid,Un-identified,28,7-2017,S04 00008,S04 H00008,NA,NA,NA,NA,NA,NA,negative,NA,negative,S04 A00008,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S04,7,2017-07-12,Sitabicha,6,Half Gravid,An. gambiae,28,7-2017,S04 00009,S04 H00009,NA,NA,NA,NA,NA,NA,negative,NA,negative,S04 A00009,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S05,4,2017-07-12,Sitabicha,2,Half Gravid,An. gambiae,28,7-2017,S05 00004,S05 H00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,S05 A00004,NA,38.111,NA,NA,NA,NA,negative,NA,positive,negative,positive
S05,4,2017-07-12,Sitabicha,2,Unfed,An. gambiae,28,7-2017,S05 00005,S05 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,S05 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S02,5,2017-07-12,Sitabicha,2,Blood Fed,An. gambiae,28,7-2017,S02 00009,S02 H00009,NA,35.559,NA,35.713,NA,5e-6,positive,5e-6,positive,S02 A00009,31.268,31.565,NA,35.951,NA,4e-6,positive,4e-6,positive,positive,positive
S02,5,2017-07-12,Sitabicha,2,Blood Fed,An. gambiae,28,7-2017,S02 00010,S02 H00010,35.63,34.837,35.745,36.857,5e-6,3e-6,positive,4.000000000000001e-6,positive,S02 A00010,35.179,34.921,NA,36.873,NA,3e-6,positive,3e-6,positive,positive,positive
S06,6,2017-07-12,Sitabicha,1,Half Gravid,An. gambiae,28,7-2017,S06 00007,S06 H00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,S06 A00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K03,2,2017-07-17,Kinesamo,3,Gravid,An. gambiae,29,7-2017,K03 00004,K03 H00004,NA,35.959,NA,NA,NA,NA,negative,NA,positive,K03 A00004,34.917,34.042,NA,NA,NA,NA,negative,NA,positive,negative,positive
K03,2,2017-07-17,Kinesamo,3,Half Gravid,An. gambiae,29,7-2017,K03 00005,K03 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,K03 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K03,2,2017-07-17,Kinesamo,3,Gravid,An. gambiae,29,7-2017,K03 00006,K03 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,K03 A00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K11,2,2017-07-17,Kinesamo,2,Half Gravid,An. gambiae,29,7-2017,K11 00002,K11 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,K11 A00002,35.689,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
K11,2,2017-07-17,Kinesamo,2,Unfed,An. gambiae,29,7-2017,K11 00003,K11 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,K11 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K13,2,2017-07-17,Kinesamo,1,Blood Fed,An. gambiae,29,7-2017,K13 00002,K13 H00002,33.874,33.921,NA,NA,NA,NA,negative,NA,positive,K13 A00002,34.154,33.462,NA,NA,NA,NA,negative,NA,positive,negative,positive
K05,3,2017-07-17,Kinesamo,1,Blood Fed,An. gambiae,29,7-2017,K05 00013,K05 H00013,38.875,NA,NA,NA,NA,NA,negative,NA,positive,K05 A00013,32.337,31.807,NA,NA,NA,NA,negative,NA,positive,negative,positive
K01,4,2017-07-17,Kinesamo,3,Blood Fed,An. gambiae,29,7-2017,K01 00029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01,4,2017-07-17,Kinesamo,3,Half Gravid,An. gambiae,29,7-2017,K01 00030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01,4,2017-07-17,Kinesamo,3,Half Gravid,An. gambiae,29,7-2017,K01 00031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K14,4,2017-07-17,Kinesamo,4,Half Gravid,An. gambiae,29,7-2017,K14 00010,K14 H00010,NA,NA,NA,NA,NA,NA,negative,NA,negative,K14 A00010,35.622,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
K14,4,2017-07-17,Kinesamo,4,Half Gravid,An. gambiae,29,7-2017,K14 00011,K14 H00011,NA,NA,NA,NA,NA,NA,negative,NA,negative,K14 A00011,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K14,4,2017-07-17,Kinesamo,4,Blood Fed,An. gambiae,29,7-2017,K14 00012,K14 H00012,35.853,36.707,NA,NA,NA,NA,negative,NA,positive,K14 A00012,38.302,39.01,NA,NA,NA,NA,negative,NA,positive,negative,positive
K14,4,2017-07-17,Kinesamo,4,Gravid,An. gambiae,29,7-2017,K14 00013,K14 H00013,NA,NA,NA,NA,NA,NA,negative,NA,negative,K14 A00013,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K07,4,2017-07-17,Kinesamo,1,Gravid,An. gambiae,29,7-2017,K07 00010,K07 H00010,NA,NA,30.48,30.148,1.14e-4,1.38e-4,positive,1.26e-4,negative,K07 A00010,NA,NA,29.8,29.966,1.68e-4,1.53e-4,positive,1.605e-4,negative,positive,negative
M05,4,2017-07-18,Maruti,1,Unfed,An. gambiae,29,7-2017,M05 00009,M05 H00009,NA,NA,NA,NA,NA,NA,negative,NA,negative,M05 A00009,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M13,5,2017-07-18,Maruti,5,Blood Fed,An. gambiae,29,7-2017,M13 00015,M13 H00015,32.845,32.704,NA,NA,NA,NA,negative,NA,positive,M13 A00015,NA,35.515,NA,NA,NA,NA,negative,NA,positive,negative,positive
M13,5,2017-07-18,Maruti,5,Blood Fed,An. gambiae,29,7-2017,M13 00016,M13 H00016,NA,NA,NA,NA,NA,NA,negative,NA,negative,M13 A00016,35.568,37.442,NA,NA,NA,NA,negative,NA,positive,negative,positive
M13,5,2017-07-18,Maruti,5,Half Gravid,Un-identified,29,7-2017,M13 00017,M13 H00017,NA,NA,NA,NA,NA,NA,negative,NA,negative,M13 A00017,31.653,31.954,30.494,30.175,9.6e-5,1.16e-4,positive,1.06e-4,positive,positive,positive
M13,5,2017-07-18,Maruti,5,Blood Fed,An. gambiae,29,7-2017,M13 00018,M13 H00018,NA,NA,NA,NA,NA,NA,negative,NA,negative,M13 A00018,32.873,32.938,NA,NA,NA,NA,negative,NA,positive,negative,positive
M13,5,2017-07-18,Maruti,5,Unfed,Un-identified,29,7-2017,M13 00019,M13 H00019,NA,NA,NA,NA,NA,NA,negative,NA,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative
M07,7,2017-07-18,Maruti,4,Gravid,An. gambiae,29,7-2017,M07 00068,M07 H00068,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00068,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,7,2017-07-18,Maruti,4,Gravid,An. gambiae,29,7-2017,M07 00069,M07 H00069,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00069,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,7,2017-07-18,Maruti,4,Blood Fed,An. gambiae,29,7-2017,M07 00070,M07 H00070,37.552082,34.91798,NA,NA,NA,NA,negative,NA,positive,M07 A00070,33.847176,35.84988,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,7,2017-07-18,Maruti,4,Blood Fed,Un-identified,29,7-2017,M07 00071,M07 H00071,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00071,35.74235,35.587917,NA,NA,NA,NA,negative,NA,positive,negative,positive
M12,5,2017-07-18,Maruti,4,Blood Fed,An. gambiae,29,7-2017,M12 00002,M12 H00002,35.426,34.359,NA,NA,NA,NA,negative,NA,positive,M12 A00002,30.235,30.571,NA,NA,NA,NA,negative,NA,positive,negative,positive
M12,5,2017-07-18,Maruti,4,Half Gravid,An. gambiae,29,7-2017,M12 00003,M12 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,M12 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M12,5,2017-07-18,Maruti,4,Blood Fed,An. gambiae,29,7-2017,M12 00004,M12 H00004,NA,35.285,NA,NA,NA,NA,negative,NA,positive,M12 A00004,33.554,33.288,NA,NA,NA,NA,negative,NA,positive,negative,positive
M12,5,2017-07-18,Maruti,4,Blood Fed,An. gambiae,29,7-2017,M12 00005,M12 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,M12 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,4,2017-07-18,Maruti,8,Half Gravid,An. gambiae,29,7-2017,M15 00018,M15 H00018,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00018,33.164,35.661,34.187,NA,2.1e-5,NA,positive,2.1e-5,positive,positive,positive
M15,4,2017-07-18,Maruti,8,Half Gravid,An. gambiae,29,7-2017,M15 00019,M15 H00019,NA,36.256,36.346,35.907,8e-6,9e-6,positive,8.5e-6,positive,M15 A00019,35.273,NA,NA,NA,NA,NA,negative,NA,positive,positive,positive
M15,4,2017-07-18,Maruti,8,Gravid,An. gambiae,29,7-2017,M15 00020,M15 H00020,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00020,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,4,2017-07-18,Maruti,8,Gravid,An. gambiae,29,7-2017,M15 00021,M15 H00021,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00021,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,4,2017-07-18,Maruti,8,Half Gravid,An. gambiae,29,7-2017,M15 00022,M15 H00022,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00022,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,4,2017-07-18,Maruti,8,Gravid,An. gambiae,29,7-2017,M15 00023,M15 H00023,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00023,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,4,2017-07-18,Maruti,8,Unfed,Un-identified,29,7-2017,M15 00024,M15 H00024,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00024,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,4,2017-07-18,Maruti,8,Unfed,An. gambiae,29,7-2017,M15 00025,M15 H00025,34.332,NA,36.467,NA,7e-6,NA,positive,7e-6,positive,M15 A00025,NA,NA,NA,NA,NA,NA,negative,NA,negative,positive,positive
M03,4,2017-07-18,Maruti,3,Gravid,An. gambiae,29,7-2017,M03 00011,M03 H00011,NA,36.289,NA,NA,NA,NA,negative,NA,positive,M03 A00011,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,positive
M03,4,2017-07-18,Maruti,3,Gravid,An. gambiae,29,7-2017,M03 00012,M03 H00012,NA,NA,NA,NA,NA,NA,negative,NA,negative,M03 A00012,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M03,4,2017-07-18,Maruti,3,Unfed,Un-identified,29,7-2017,M03 00013,M03 H00013,NA,NA,NA,NA,NA,NA,negative,NA,negative,M03 A00013,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M09,5,2017-07-18,Maruti,5,Blood Fed,Un-identified,29,7-2017,M09 00041,M09 H00041,36.497,35.524,NA,NA,NA,NA,negative,NA,positive,M09 A00041,31.764,31.867,NA,NA,NA,NA,negative,NA,positive,negative,positive
M09,5,2017-07-18,Maruti,5,Half Gravid,An. gambiae,29,7-2017,M09 00042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M09,5,2017-07-18,Maruti,5,Gravid,Un-identified,29,7-2017,M09 00043,M09 H00043,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00043,32.751,32.234,NA,NA,NA,NA,negative,NA,positive,negative,positive
M09,5,2017-07-18,Maruti,5,Blood Fed,An. gambiae,29,7-2017,M09 00044,M09 H00044,33.963,32.41,NA,35.416,NA,1e-5,positive,1e-5,positive,M09 A00044,31.412,31.463,NA,36.195,NA,6e-6,positive,6e-6,positive,positive,positive
M09,5,2017-07-18,Maruti,5,Half Gravid,An. gambiae,29,7-2017,M09 00045,M09 H00045,NA,NA,37.218,NA,3e-6,NA,positive,3e-6,negative,M09 A00045,NA,NA,34.577,34.362,1.5e-5,1.7e-5,positive,1.6e-5,negative,positive,negative
M07,6,2017-07-18,Maruti,16,Gravid,An. gambiae,29,7-2017,M07 00052,M07 H00052,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00052,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,6,2017-07-18,Maruti,16,Half Gravid,An. gambiae,29,7-2017,M07 00053,M07 H00053,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00053,35.987698,34.216316,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Gravid,An. gambiae,29,7-2017,M07 00054,M07 H00054,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00054,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,6,2017-07-18,Maruti,16,Half Gravid,An. gambiae,29,7-2017,M07 00055,M07 H00055,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00055,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,6,2017-07-18,Maruti,16,Half Gravid,An. gambiae,29,7-2017,M07 00056,M07 H00056,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00056,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,6,2017-07-18,Maruti,16,Blood Fed,An. gambiae,29,7-2017,M07 00057,M07 H00057,34.23856,35.636063,NA,NA,NA,NA,negative,NA,positive,M07 A00057,33.833847,34.124165,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Half Gravid,An. gambiae,29,7-2017,M07 00058,M07 H00058,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00058,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,6,2017-07-18,Maruti,16,Blood Fed,An. gambiae,29,7-2017,M07 00059,M07 H00059,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00059,32.57084,32.425255,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Gravid,An. gambiae,29,7-2017,M07 00060,M07 H00060,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00060,34.570972,33.35582,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Half Gravid,An. gambiae,29,7-2017,M07 00061,M07 H00061,36.764465,NA,NA,NA,NA,NA,negative,NA,positive,M07 A00061,34.53982,33.649418,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Half Gravid,An. gambiae,29,7-2017,M07 00062,M07 H00062,39.720657,39.210606,NA,NA,NA,NA,negative,NA,positive,M07 A00062,35.028095,35.35224,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Blood Fed,An. gambiae,29,7-2017,M07 00063,M07 H00063,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00063,34.156776,35.741196,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Blood Fed,An. gambiae,29,7-2017,M07 00064,M07 H00064,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00064,32.982952,32.59527,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Blood Fed,An. gambiae,29,7-2017,M07 00065,M07 H00065,34.382214,33.740566,NA,NA,NA,NA,negative,NA,positive,M07 A00065,35.016586,35.34374,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Blood Fed,An. gambiae,29,7-2017,M07 00066,M07 H00066,38.589634,34.538113,NA,NA,NA,NA,negative,NA,positive,M07 A00066,32.881268,34.471703,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,6,2017-07-18,Maruti,16,Half Gravid,Un-identified,29,7-2017,M07 00067,M07 H00067,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00067,36.651722,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,5,2017-07-18,Maruti,8,Gravid,An. gambiae,29,7-2017,M06 00018,M06 H00018,NA,NA,30.633,30.49,6.3e-5,6.9e-5,positive,6.6e-5,negative,M06 A00018,NA,NA,NA,NA,NA,NA,negative,NA,negative,positive,negative
M06,5,2017-07-18,Maruti,8,Half Gravid,An. gambiae,29,7-2017,M06 00019,M06 H00019,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00019,31.148,30.705,NA,36.459,NA,2e-6,positive,2e-6,positive,positive,positive
M06,5,2017-07-18,Maruti,8,Unfed,An. gambiae,29,7-2017,M06 00020,M06 H00020,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00020,37.414,36.94,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,5,2017-07-18,Maruti,8,Blood Fed,An. gambiae,29,7-2017,M06 00021,M06 H00021,32.891,32.959,NA,NA,NA,NA,negative,NA,positive,M06 A00021,31.276,30.471,35.866,NA,3e-6,NA,positive,3e-6,positive,positive,positive
M06,5,2017-07-18,Maruti,8,Half Gravid,An. gambiae,29,7-2017,M06 00022,M06 H00022,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00022,29.823,30.302,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,5,2017-07-18,Maruti,8,Gravid,An. gambiae,29,7-2017,M06 00023,M06 H00023,34.651,34.9,NA,NA,NA,NA,negative,NA,positive,M06 A00023,29.087,29.086,35.43,NA,4e-6,NA,positive,4e-6,positive,positive,positive
M06,5,2017-07-18,Maruti,8,Blood Fed,Un-identified,29,7-2017,M06 00024,M06 H00024,34.346,33.849,NA,NA,NA,NA,negative,NA,positive,M06 A00024,29.277,29.148,33.862,35.105,9e-6,4e-6,positive,6.5000000000000004e-6,positive,positive,positive
M06,5,2017-07-18,Maruti,8,Unfed,Un-identified,29,7-2017,M06 00025,M06 H00025,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00025,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M01,5,2017-07-18,Maruti,5,Unfed,An. gambiae,29,7-2017,M01 00018,M01 H00018,NA,NA,NA,NA,NA,NA,negative,NA,negative,M01 A00018,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M01,5,2017-07-18,Maruti,5,Half Gravid,An. gambiae,29,7-2017,M01 00017,M01 H00017,NA,NA,NA,NA,NA,NA,negative,NA,negative,M01 A00017,34.474,35.653,NA,NA,NA,NA,negative,NA,positive,negative,positive
M01,5,2017-07-18,Maruti,5,Blood Fed,An. gambiae,29,7-2017,M01 00016,M01 H00016,NA,NA,NA,NA,NA,NA,negative,NA,negative,M01 A00016,31.259,30.279,NA,36.613,NA,3e-6,positive,3e-6,positive,positive,positive
M01,5,2017-07-18,Maruti,5,Blood Fed,An. gambiae,29,7-2017,M01 00015,M01 H00015,38.082,35.523,NA,NA,NA,NA,negative,NA,positive,M01 A00015,33.554,33.613,NA,NA,NA,NA,negative,NA,positive,negative,positive
M01,5,2017-07-18,Maruti,5,Blood Fed,Un-identified,29,7-2017,M01 00014,M01 H00014,35.646,35.63,NA,NA,NA,NA,negative,NA,positive,M01 A00014,30.462,29.927,36.203,NA,4e-6,NA,positive,4e-6,positive,positive,positive
S02,4,2017-07-19,Sitabicha,1,Blood Fed,An. gambiae,29,7-2017,S02 00011,S02 H00011,NA,38.179,NA,NA,NA,NA,negative,NA,positive,S02 A00011,35.131,35.352,NA,NA,NA,NA,negative,NA,positive,negative,positive
S04,6,2017-07-19,Sitabicha,1,Half Gravid,An. gambiae,29,7-2017,S04 00010,S04 H00010,NA,NA,NA,NA,NA,NA,negative,NA,negative,S04 A00010,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S12,3,2017-07-19,Sitabicha,2,Gravid,An. gambiae,29,7-2017,S12 00006,S12 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative
S12,3,2017-07-19,Sitabicha,2,Half Gravid,Un-identified,29,7-2017,S12 00007,S12 H00007,NA,35.349,NA,NA,NA,NA,negative,NA,positive,S12 A00007,35.967,34.093,NA,NA,NA,NA,negative,NA,positive,negative,positive
S01,9,2017-07-19,Sitabicha,3,Half Gravid,An. gambiae,29,7-2017,S01 00005,S01 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,S01 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S01,9,2017-07-19,Sitabicha,3,Half Gravid,An. gambiae,29,7-2017,S01 00006,S01 H00006,33.539,34.326,35.481,NA,3.2e-5,NA,positive,3.2e-5,positive,S01 A00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,positive,positive
S01,9,2017-07-19,Sitabicha,3,Gravid,An. gambiae,29,7-2017,S01 00007,S01 H00007,NA,NA,NA,35.021,NA,8e-6,positive,8e-6,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,positive,negative
S06,5,2017-07-19,Sitabicha,1,Half Gravid,An. gambiae,29,7-2017,S06 00008,S06 H00008,NA,NA,NA,NA,NA,NA,negative,NA,negative,S06 A00008,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S07,5,2017-07-19,Sitabicha,1,Blood Fed,An. gambiae,29,7-2017,S07 00002,S07 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,S07 A00002,35.218,36.506,NA,NA,NA,NA,negative,NA,positive,negative,positive
S10,8,2017-07-19,Sitabicha,1,Unfed,An. gambiae,29,7-2017,S10 00004,S10 H00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,S10 A00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S03,3,2017-07-19,Sitabicha,1,Half Gravid,An. gambiae,29,7-2017,S03 00005,S03 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,S03 A00005,35.011,36.093,NA,NA,NA,NA,negative,NA,positive,negative,positive
K01,5,2017-07-24,Kinesamo,1,Half Gravid,Un-identified,30,7-2017,K01 00032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K14,5,2017-07-24,Kinesamo,1,Unfed,An. gambiae,30,7-2017,K14 00014,K14 H00014,NA,NA,NA,NA,NA,NA,negative,NA,negative,K14 A00014,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K13,3,2017-07-24,Kinesamo,1,Blood Fed,Un-identified,30,7-2017,K13 00003,K13 H00003,38.407,35.632,NA,NA,NA,NA,negative,NA,positive,K13 A00003,38.784,37.181,NA,NA,NA,NA,negative,NA,positive,negative,positive
K03,4,2017-07-24,Kinesamo,1,Blood Fed,An. gambiae,30,7-2017,K03 00007,K03 H00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,K03 A00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M14,6,2017-07-25,Maruti,2,Blood Fed,Un-identified,30,7-2017,M14 00032,M14 H00032,NA,NA,NA,NA,NA,NA,negative,NA,negative,M14 A00032,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M14,6,2017-07-25,Maruti,2,Half Gravid,An. gambiae,30,7-2017,M14 00033,M14 H00033,NA,NA,NA,NA,NA,NA,negative,NA,negative,M14 A00033,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M09,6,2017-07-25,Maruti,3,Blood Fed,Un-identified,30,7-2017,M09 00046,M09 H00046,34.36,35.869,NA,NA,NA,NA,negative,NA,positive,M09 A00046,31.495,32.282,NA,36.426,NA,5e-6,positive,5e-6,positive,positive,positive
M09,6,2017-07-25,Maruti,3,Half Gravid,Un-identified,30,7-2017,M09 00047,M09 H00047,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00047,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M09,6,2017-07-25,Maruti,3,Half Gravid,Un-identified,30,7-2017,M09 00048,M09 H00048,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00048,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,5,2017-07-25,Maruti,6,Blood Fed,An. gambiae,30,7-2017,M15 00026,M15 H00026,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00026,32.4,33.237,34.147,34.907,1.2e-5,8e-6,positive,9.999999999999999e-6,positive,positive,positive
M15,5,2017-07-25,Maruti,6,Half Gravid,An. pretoriensis,30,7-2017,M15 00027,M15 H00027,33.908,33.101,NA,NA,NA,NA,negative,NA,positive,M15 A00027,33.339,33.184,NA,NA,NA,NA,negative,NA,positive,negative,positive
M15,5,2017-07-25,Maruti,6,Blood Fed,Un-identified,30,7-2017,M15 00028,M15 H00028,35.255,35.227,NA,NA,NA,NA,negative,NA,positive,M15 A00028,34.399,34.515,36.346,36.104,3e-6,4e-6,positive,3.5e-6,positive,positive,positive
M15,5,2017-07-25,Maruti,6,Half Gravid,Un-identified,30,7-2017,M15 00029,M15 H00029,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00029,36.122,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
M15,5,2017-07-25,Maruti,6,Half Gravid,An. gambiae,30,7-2017,M15 00030,M15 H00030,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00030,NA,35.501,NA,39.667,NA,1e-6,positive,1e-6,positive,positive,positive
M15,5,2017-07-25,Maruti,6,Half Gravid,An. gambiae,30,7-2017,M15 00031,M15 H00031,NA,38.696,NA,NA,NA,NA,negative,NA,positive,M15 A00031,38.169,36.616,NA,NA,NA,NA,negative,NA,positive,negative,positive
M01,6,2017-07-25,Maruti,5,Half Gravid,An. gambiae,30,7-2017,M01 00020,M01 H00020,33.944,35.715,NA,NA,NA,NA,negative,NA,positive,M01 A00020,31.828,32.147,NA,NA,NA,NA,negative,NA,positive,negative,positive
